+----------------+------+--------+---------+
|   series id    | year | period |  value  |
| CUUR0000SA0L1E | 2006 |  M09   |  207.2  |
| CUUR0000SA0L1E | 2006 |  M08   |  206.7  |
| CUUR0000SA0L1E | 2006 |  M07   |  206.2  |
| CUUR0000SA0L1E | 2006 |  M06   |  205.9  |
| CUUR0000SA0L1E | 2006 |  M05   |  205.7  |
| CUUR0000SA0L1E | 2006 |  M04   |  205.5  |
| CUUR0000SA0L1E | 2006 |  M03   |  204.9  |
| CUUR0000SA0L1E | 2006 |  M02   |  203.6  |
| CUUR0000SA0L1E | 2006 |  M01   |  202.6  |
| CUUR0000SA0L1E | 2005 |  M12   |  202.1  |
| CUUR0000SA0L1E | 2005 |  M11   |  202.3  |
| CUUR0000SA0L1E | 2005 |  M10   |  202.3  |
| CUUR0000SA0L1E | 2005 |  M09   |  201.3  |
| CUUR0000SA0L1E | 2005 |  M08   |  201.0  |
| CUUR0000SA0L1E | 2005 |  M07   |  200.8  |
| CUUR0000SA0L1E | 2005 |  M06   |  200.6  |
| CUUR0000SA0L1E | 2005 |  M05   |  200.8  |
| CUUR0000SA0L1E | 2005 |  M04   |  200.9  |
| CUUR0000SA0L1E | 2005 |  M03   |  200.7  |
| CUUR0000SA0L1E | 2005 |  M02   |  199.5  |
| CUUR0000SA0L1E | 2005 |  M01   |  198.4  |
| CUUR0000SA0L1E | 2004 |  M12   |  197.8  |
| CUUR0000SA0L1E | 2004 |  M11   |  198.1  |
| CUUR0000SA0L1E | 2004 |  M10   |  198.2  |
| CUUR0000SA0L1E | 2004 |  M09   |  197.4  |
| CUUR0000SA0L1E | 2004 |  M08   |  196.8  |
| CUUR0000SA0L1E | 2004 |  M07   |  196.6  |
| CUUR0000SA0L1E | 2004 |  M06   |  196.6  |
| CUUR0000SA0L1E | 2004 |  M05   |  196.5  |
| CUUR0000SA0L1E | 2004 |  M04   |  196.5  |
| CUUR0000SA0L1E | 2004 |  M03   |  196.1  |
| CUUR0000SA0L1E | 2004 |  M02   |  194.9  |
| CUUR0000SA0L1E | 2004 |  M01   |  194.0  |
| CUUR0000SA0L1E | 2003 |  M12   |  193.6  |
| CUUR0000SA0L1E | 2003 |  M11   |  193.9  |
| CUUR0000SA0L1E | 2003 |  M10   |  194.3  |
| CUUR0000SA0L1E | 2003 |  M09   |  193.6  |
| CUUR0000SA0L1E | 2003 |  M08   |  193.5  |
| CUUR0000SA0L1E | 2003 |  M07   |  193.2  |
| CUUR0000SA0L1E | 2003 |  M06   |  193.0  |
| CUUR0000SA0L1E | 2003 |  M05   |  193.2  |
| CUUR0000SA0L1E | 2003 |  M04   |  193.1  |
| CUUR0000SA0L1E | 2003 |  M03   |  193.0  |
| CUUR0000SA0L1E | 2003 |  M02   |  192.5  |
| CUUR0000SA0L1E | 2003 |  M01   |  191.8  |
| CUUR0000SA0L1E | 2002 |  M12   |  191.4  |
| CUUR0000SA0L1E | 2002 |  M11   |  191.8  |
| CUUR0000SA0L1E | 2002 |  M10   |  191.8  |
| CUUR0000SA0L1E | 2002 |  M09   |  191.3  |
| CUUR0000SA0L1E | 2002 |  M08   |  191.0  |
| CUUR0000SA0L1E | 2002 |  M07   |  190.3  |
| CUUR0000SA0L1E | 2002 |  M06   |  190.1  |
| CUUR0000SA0L1E | 2002 |  M05   |  190.2  |
| CUUR0000SA0L1E | 2002 |  M04   |  190.3  |
| CUUR0000SA0L1E | 2002 |  M03   |  189.8  |
| CUUR0000SA0L1E | 2002 |  M02   |  189.2  |
| CUUR0000SA0L1E | 2002 |  M01   |  188.2  |
| CUUR0000SA0L1E | 2001 |  M12   |  187.8  |
| CUUR0000SA0L1E | 2001 |  M11   |  188.1  |
| CUUR0000SA0L1E | 2001 |  M10   |  187.6  |
| CUUR0000SA0L1E | 2001 |  M09   |  187.1  |
| CUUR0000SA0L1E | 2001 |  M08   |  186.6  |
| CUUR0000SA0L1E | 2001 |  M07   |  186.2  |
| CUUR0000SA0L1E | 2001 |  M06   |  185.9  |
| CUUR0000SA0L1E | 2001 |  M05   |  185.5  |
| CUUR0000SA0L1E | 2001 |  M04   |  185.6  |
| CUUR0000SA0L1E | 2001 |  M03   |  185.3  |
| CUUR0000SA0L1E | 2001 |  M02   |  184.4  |
| CUUR0000SA0L1E | 2001 |  M01   |  183.5  |
+----------------+------+--------+---------+
